code,name,gender,country_code,events,birth_date,coach
1537183,CAMACHO-QUINN Jasmine,F,PUR,"[""Women's 100m Hurdles""]",21/8/1996,Personal: John Coghlan (IRL)
1537185,CHEVRIER Luc,M,LCA,"[""Men's Dinghy""]",30/6/1999,
1537187,FERNANDEZ GAMBOA Pedro Luis,M,PUR,"[""Men's Dinghy""]",12/6/1997,Pedro Fernandez Castaneda
1537188,RIVERA Sebastian C,M,PUR,"[""Men's Freestyle 65kg""]",27/8/1998,
1537189,LOZADA MOTTA Ashleyann,F,PUR,"[""Women's 57kg""]",19/7/1991,National: Carlos Espada (PUR) former professional boxer and brother of Angel Espada (WBA world welterweight champion 1975-76)
1537191,PULIDO ORTIZ Celia,F,MEX,"[""Women's 100m Backstroke""]",1/1/2003,
1537203,HYDE Jaheel,M,JAM,"[""Men's 400m Hurdles""]",2/2/1997,Personal: Okeile Stewart (JAM)
1537204,IGA Jorge,M,MEX,"[""Men's 100m Freestyle"" ""Men's 200m Freestyle""]",12/1/1997,
1537209,HEIN Agostina,F,ARG,"[""Women's 400m Freestyle"" ""Women's 800m Freestyle""]",24/4/2008,Club: Sebastian Montero
1537256,SASSER Mathlynn,F,MHL,"[""Women's 59kg""]",25/12/1996,Personal: Casey Knuth
1537272,HEPLER Kayla,F,MHL,"[""Women's 50m Freestyle""]",22/3/2002,
