medal_type,medal_code,name,gender,discipline,event,code,country_code
Silver Medal,2,Illia KOVTUN,M,Artistic Gymnastics,Men's Parallel Bars,1897555,UKR
Bronze Medal,3,OKA Shinnosuke,M,Artistic Gymnastics,Men's Parallel Bars,1919480,JPN
Gold Medal,1,Alice D'AMATO,F,Artistic Gymnastics,Women's Balance Beam,1551061,ITA
Silver Medal,2,ZHOU Yaqin,F,Artistic Gymnastics,Women's Balance Beam,1918881,CHN
Bronze Medal,3,Manila ESPOSITO,F,Artistic Gymnastics,Women's Balance Beam,1560762,ITA
Gold Medal,1,Rebeca ANDRADE,F,Artistic Gymnastics,Women's Floor Exercise,1953634,BRA
Silver Medal,2,Simone BILES,F,Artistic Gymnastics,Women's Floor Exercise,1959861,USA
Bronze Medal,3,Ana BARBOSU,F,Artistic Gymnastics,Women's Floor Exercise,1550170,ROU
Gold Medal,1,Armand DUPLANTIS,M,Athletics,Men's Pole Vault,1569203,SWE
Silver Medal,2,Sam KENDRICKS,M,Athletics,Men's Pole Vault,1960178,USA
Bronze Medal,3,Emmanouil KARALIS,M,Athletics,Men's Pole Vault,1961218,GRE
Gold Medal,1,Beatrice CHEBET,F,Athletics,Women's 5000m,1910560,KEN
Silver Medal,2,Faith KIPYEGON,F,Athletics,Women's 5000m,1910451,KEN
Bronze Medal,3,Sifan HASSAN,F,Athletics,Women's 5000m,1972105,NED
Gold Medal,1,Keely HODGKINSON,F,Athletics,Women's 800m,1924429,GBR
Silver Medal,2,Tsige DUGUMA,F,Athletics,Women's 800m,1536498,ETH
Bronze Medal,3,Mary MORAA,F,Athletics,Women's 800m,1928047,KEN
Gold Medal,1,Valarie ALLMAN,F,Athletics,Women's Discus Throw,1960721,USA
Silver Medal,2,FENG Bin,F,Athletics,Women's Discus Throw,1919067,CHN
Bronze Medal,3,Sandra ELKASEVIC,F,Athletics,Women's Discus Throw,1922205,CRO
Gold Medal,1,Viktor AXELSEN,M,Badminton,Men's Singles,1888993,DEN
Silver Medal,2,Kunlavut VITIDSARN,M,Badminton,Men's Singles,1926294,THA
Bronze Medal,3,Zii Jia LEE,M,Badminton,Men's Singles,1566617,MAS
Gold Medal,1,AN Se Young,F,Badminton,Women's Singles,1891498,KOR
Silver Medal,2,HE Bing Jiao,F,Badminton,Women's Singles,1913436,CHN
Gold Medal,1,Finn BUTCHER,M,Canoe Slalom,Men's Kayak Cross,1945386,NZL
Silver Medal,2,Joseph CLARKE,M,Canoe Slalom,Men's Kayak Cross,1896032,GBR
Bronze Medal,3,Noah HEGGE,M,Canoe Slalom,Men's Kayak Cross,1913780,GER
Gold Medal,1,Noemie FOX,F,Canoe Slalom,Women's Kayak Cross,1940209,AUS
Silver Medal,2,Angele HUG,F,Canoe Slalom,Women's Kayak Cross,1880483,FRA
