medal_type,medal_code,name,gender,discipline,event,code,country_code
Gold Medal,1,Remco EVENEPOEL,M,Cycling Road,Men's Individual Time Trial,1903136,BEL
Silver Medal,2,Filippo GANNA,M,Cycling Road,Men's Individual Time Trial,1923520,ITA
Bronze Medal,3,Wout van AERT,M,Cycling Road,Men's Individual Time Trial,1903147,BEL
Gold Medal,1,Grace BROWN,F,Cycling Road,Women's Individual Time Trial,1940173,AUS
Silver Medal,2,Anna HENDERSON,F,Cycling Road,Women's Individual Time Trial,1912525,GBR
Bronze Medal,3,Chloe DYGERT,F,Cycling Road,Women's Individual Time Trial,1955079,USA
Gold Medal,1,China,F,Diving,Women's Synchronised 3m Springboard,DIVW3MTEAM2-CHN01,CHN
Silver Medal,2,United States,F,Diving,Women's Synchronised 3m Springboard,DIVW3MTEAM2-USA01,USA
Bronze Medal,3,Great Britain,F,Diving,Women's Synchronised 3m Springboard,DIVW3MTEAM2-GBR01,GBR
Gold Medal,1,OH Sanguk,M,Fencing,Men's Sabre Individual,1927149,KOR
Silver Medal,2,Fares FERJANI,M,Fencing,Men's Sabre Individual,1937783,TUN
Bronze Medal,3,Luigi SAMELE,M,Fencing,Men's Sabre Individual,1924595,ITA
Gold Medal,1,KONG Man Wai Vivian,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1963262,HKG
Silver Medal,2,Auriane MALLO-BRETON,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1916183,FRA
Bronze Medal,3,Eszter MUHARI,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1946375,HUN
Gold Medal,1,Yeldos SMETOV,M,Judo,Men -60 kg,1935408,KAZ
Silver Medal,2,Luka MKHEIDZE,M,Judo,Men -60 kg,1891304,FRA
Bronze Medal,3,NAGAYAMA Ryuju,M,Judo,Men -60 kg,1896752,JPN
Bronze Medal,3,Francisco GARRIGOS,M,Judo,Men -60 kg,1563544,ESP
Gold Medal,1,TSUNODA Natsumi,F,Judo,Women -48 kg,1896735,JPN
Silver Medal,2,Baasankhuu BAVUUDORJ,F,Judo,Women -48 kg,1914467,MGL
Bronze Medal,3,Shirine BOUKLI,F,Judo,Women -48 kg,1891280,FRA
Bronze Medal,3,Tara BABULFATH,F,Judo,Women -48 kg,1571911,SWE
Gold Medal,1,France,M,Rugby Sevens,Men,RU7MTEAM7---FRA01,FRA
Silver Medal,2,Fiji,M,Rugby Sevens,Men,RU7MTEAM7---FIJ01,FIJ
Bronze Medal,3,South Africa,M,Rugby Sevens,Men,RU7MTEAM7---RSA01,RSA
Gold Medal,1,China 1,X,Shooting,10m Air Rifle Mixed Team,SHOXARMT----CHN01,CHN
Silver Medal,2,Korea 1,X,Shooting,10m Air Rifle Mixed Team,SHOXARMT----KOR01,KOR
Bronze Medal,3,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,SHOXARMT----KAZ01,KAZ
Gold Medal,1,United States,M,Swimming,Men's 4 x 100m Freestyle Relay,SWMM4X100MFRUSA01,USA
Silver Medal,2,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,SWMM4X100MFRAUS01,AUS
Bronze Medal,3,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,SWMM4X100MFRITA01,ITA
Gold Medal,1,Lukas MAERTENS,M,Swimming,Men's 400m Freestyle,1907192,GER
Silver Medal,2,Elijah WINNINGTON,M,Swimming,Men's 400m Freestyle,1946172,AUS
Bronze Medal,3,KIM Woomin,M,Swimming,Men's 400m Freestyle,4654306,KOR
Gold Medal,1,Australia,F,Swimming,Women's 4 x 100m Freestyle Relay,SWMW4X100MFRAUS01,AUS
Silver Medal,2,United States,F,Swimming,Women's 4 x 100m Freestyle Relay,SWMW4X100MFRUSA01,USA
Bronze Medal,3,China,F,Swimming,Women's 4 x 100m Freestyle Relay,SWMW4X100MFRCHN01,CHN
Gold Medal,1,Ariarne TITMUS,F,Swimming,Women's 400m Freestyle,1946150,AUS
Silver Medal,2,Summer McINTOSH,F,Swimming,Women's 400m Freestyle,1967140,CAN
Bronze Medal,3,Katie LEDECKY,F,Swimming,Women's 400m Freestyle,1935938,USA
Gold Medal,1,Korea,F,Archery,Women's Team,ARCWTEAM3---KOR01,KOR
Silver Medal,2,China,F,Archery,Women's Team,ARCWTEAM3---CHN01,CHN
Bronze Medal,3,Mexico,F,Archery,Women's Team,ARCWTEAM3---MEX01,MEX
Gold Medal,1,Jessica FOX,F,Canoe Slalom,Women's Kayak Single,1940205,AUS
Silver Medal,2,Klaudia ZWOLINSKA,F,Canoe Slalom,Women's Kayak Single,1942126,POL
Bronze Medal,3,Kimberley WOODS,F,Canoe Slalom,Women's Kayak Single,1896045,GBR
Gold Medal,1,Pauline FERRAND PREVOT,F,Cycling Mountain Bike,Women's Cross-country,1895672,FRA
Silver Medal,2,Haley BATTEN,F,Cycling Mountain Bike,Women's Cross-country,1955070,USA
Bronze Medal,3,Jenny RISSVEDS,F,Cycling Mountain Bike,Women's Cross-country,1564023,SWE
Gold Medal,1,KANO Koki,M,Fencing,Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1896548,JPN
Silver Medal,2,Yannick BOREL,M,Fencing,Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1916194,FRA
Bronze Medal,3,Mohamed ELSAYED,M,Fencing,Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1936462,EGY
Gold Medal,1,Lee KIEFER,F,Fencing,Women's Foil Individual,1950611,USA
Silver Medal,2,Lauren SCRUGGS,F,Fencing,Women's Foil Individual,1950643,USA
Bronze Medal,3,Eleanor HARVEY,F,Fencing,Women's Foil Individual,1973213,CAN
Gold Medal,1,ABE Hifumi,M,Judo,Men -66 kg,1896763,JPN
Silver Medal,2,Willian LIMA,M,Judo,Men -66 kg,1953840,BRA
Bronze Medal,3,Gusman KYRGYZBAYEV,M,Judo,Men -66 kg,1935410,KAZ
Bronze Medal,3,Denis VIERU,M,Judo,Men -66 kg,1561138,MDA
Gold Medal,1,Diyora KELDIYOROVA,F,Judo,Women -52 kg,1566997,UZB
Silver Medal,2,Distria KRASNIQI,F,Judo,Women -52 kg,1550162,KOS
Bronze Medal,3,Larissa PIMENTA,F,Judo,Women -52 kg,1953817,BRA
Bronze Medal,3,Amandine BUCHARD,F,Judo,Women -52 kg,1891283,FRA
Gold Medal,1,XIE Yu,M,Shooting,10m Air Pistol Men,1913907,CHN
Silver Medal,2,Federico Nilo MALDINI,M,Shooting,10m Air Pistol Men,1551388,ITA
Bronze Medal,3,Paolo MONNA,M,Shooting,10m Air Pistol Men,1551387,ITA
Gold Medal,1,OH Ye Jin,F,Shooting,10m Air Pistol Women,1893972,KOR
Silver Medal,2,KIM Yeji,F,Shooting,10m Air Pistol Women,1893930,KOR
Bronze Medal,3,Manu BHAKER,F,Shooting,10m Air Pistol Women,1538159,IND
Gold Medal,1,YOSHIZAWA Coco,F,Skateboarding,Women's Street,1902055,JPN
Silver Medal,2,AKAMA Liz,F,Skateboarding,Women's Street,1902069,JPN
Bronze Medal,3,Rayssa LEAL,F,Skateboarding,Women's Street,1955689,BRA
Gold Medal,1,Nicolo MARTINENGHI,M,Swimming,Men's 100m Breaststroke,1925633,ITA
Silver Medal,2,Adam PEATY,M,Swimming,Men's 100m Breaststroke,1956469,GBR
Silver Medal,2,Nic FINK,M,Swimming,Men's 100m Breaststroke,1935901,USA
Gold Medal,1,Leon MARCHAND,M,Swimming,Men's 400m Individual Medley,1909294,FRA
Silver Medal,2,MATSUSHITA Tomoyuki,M,Swimming,Men's 400m Individual Medley,1963635,JPN
Bronze Medal,3,Carson FOSTER,M,Swimming,Men's 400m Individual Medley,1935903,USA
Gold Medal,1,Torri HUSKE,F,Swimming,Women's 100m Butterfly,1935923,USA
Silver Medal,2,Gretchen WALSH,F,Swimming,Women's 100m Butterfly,1935998,USA
Bronze Medal,3,ZHANG Yufei,F,Swimming,Women's 100m Butterfly,1945125,CHN
Gold Medal,1,Korea,M,Archery,Men's Team,ARCMTEAM3---KOR01,KOR
Silver Medal,2,France,M,Archery,Men's Team,ARCMTEAM3---FRA01,FRA
Bronze Medal,3,Tï¿½ï¿½ï,M,Archery,Men's Team,ARCMTEAM3---TUR01,TUR
Gold Medal,1,Japan,M,Artistic Gymnastics,Men's Team,GARMTEAM----JPN01,JPN
Silver Medal,2,China,M,Artistic Gymnastics,Men's Team,GARMTEAM----CHN01,CHN
Bronze Medal,3,United States,M,Artistic Gymnastics,Men's Team,GARMTEAM----USA01,USA
Gold Medal,1,Nicolas GESTIN,M,Canoe Slalom,Men's Canoe Single,1880479,FRA
Silver Medal,2,Adam BURGESS,M,Canoe Slalom,Men's Canoe Single,1896030,GBR
Bronze Medal,3,Matej BENUS,M,Canoe Slalom,Men's Canoe Single,1961080,SVK
Gold Medal,1,Thomas PIDCOCK,M,Cycling Mountain Bike,Men's Cross-country,1912546,GBR
Silver Medal,2,Victor KORETZKY,M,Cycling Mountain Bike,Men's Cross-country,1895687,FRA
Bronze Medal,3,Alan HATHERLY,M,Cycling Mountain Bike,Men's Cross-country,1943604,RSA
Gold Medal,1,China,M,Diving,Men's Synchronised 10m Platform,DIVM10MTEAM2CHN01,CHN
Silver Medal,2,Great Britain,M,Diving,Men's Synchronised 10m Platform,DIVM10MTEAM2GBR01,GBR
Bronze Medal,3,Canada,M,Diving,Men's Synchronised 10m Platform,DIVM10MTEAM2CAN01,CAN
Gold Medal,1,Michael JUNG,O,Equestrian,Eventing Individual,1914921,GER
Silver Medal,2,Christopher BURTON,O,Equestrian,Eventing Individual,1940438,AUS
Bronze Medal,3,Laura COLLETT,O,Equestrian,Eventing Individual,1970898,GBR
Gold Medal,1,Great Britain,O,Equestrian,Eventing Team,EQUOEVENTEAMGBR01,GBR
Silver Medal,2,France,O,Equestrian,Eventing Team,EQUOEVENTEAMFRA01,FRA
Bronze Medal,3,Japan,O,Equestrian,Eventing Team,EQUOEVENTEAMJPN01,JPN
Gold Medal,1,CHEUNG Ka Long,M,Fencing,Men's Foil Individual,1963245,HKG
Silver Medal,2,Filippo MACCHI,M,Fencing,Men's Foil Individual,1924289,ITA
Bronze Medal,3,Nick ITKIN,M,Fencing,Men's Foil Individual,1950602,USA
Gold Medal,1,Manon APITHY-BRUNET,F,Fencing,Women's Sabre Individual,1916223,FRA
Silver Medal,2,Sara BALZER,F,Fencing,Women's Sabre Individual,1916222,FRA
Bronze Medal,3,Olga KHARLAN,F,Fencing,Women's Sabre Individual,1897644,UKR
Gold Medal,1,Hidayat HEYDAROV,M,Judo,Men -73 kg,1972337,AZE
Silver Medal,2,Joan-Benjamin GABA,M,Judo,Men -73 kg,1891311,FRA
Bronze Medal,3,Adil OSMANOV,M,Judo,Men -73 kg,1563437,MDA
Bronze Medal,3,HASHIMOTO Soichi,M,Judo,Men -73 kg,1896740,JPN
Gold Medal,1,Christa DEGUCHI,F,Judo,Women -57 kg,1955526,CAN
Silver Medal,2,HUH Mimi,F,Judo,Women -57 kg,1928067,KOR
Bronze Medal,3,FUNAKUBO Haruka,F,Judo,Women -57 kg,1896733,JPN
Bronze Medal,3,Sarah Leonie CYSIQUE,F,Judo,Women -57 kg,1891286,FRA
Gold Medal,1,SHENG Lihao,M,Shooting,10m Air Rifle Men,1913899,CHN
Silver Medal,2,Victor LINDGREN,M,Shooting,10m Air Rifle Men,1572919,SWE
Bronze Medal,3,Miran MARICIC,M,Shooting,10m Air Rifle Men,1888047,CRO
Gold Medal,1,BAN Hyojin,F,Shooting,10m Air Rifle Women,1893845,KOR
Silver Medal,2,HUANG Yuting,F,Shooting,10m Air Rifle Women,1913945,CHN
Bronze Medal,3,Audrey GOGNIAT,F,Shooting,10m Air Rifle Women,1976545,SUI
Gold Medal,1,HORIGOME Yuto,M,Skateboarding,Men's Street,1902081,JPN
Silver Medal,2,Jagger EATON,M,Skateboarding,Men's Street,1944226,USA
Bronze Medal,3,Nyjah HUSTON,M,Skateboarding,Men's Street,1944232,USA
Gold Medal,1,Thomas CECCON,M,Swimming,Men's 100m Backstroke,1925635,ITA
Silver Medal,2,XU Jiayu,M,Swimming,Men's 100m Backstroke,1945132,CHN
Bronze Medal,3,Ryan MURPHY,M,Swimming,Men's 100m Backstroke,1935957,USA
Gold Medal,1,David POPOVICI,M,Swimming,Men's 200m Freestyle,1543549,ROU
Silver Medal,2,Matthew RICHARDS,M,Swimming,Men's 200m Freestyle,1903617,GBR
Bronze Medal,3,Luke HOBSON,M,Swimming,Men's 200m Freestyle,1935918,USA
Gold Medal,1,Tatjana SMITH,F,Swimming,Women's 100m Breaststroke,1962589,RSA
Silver Medal,2,TANG Qianting,F,Swimming,Women's 100m Breaststroke,1945200,CHN
Bronze Medal,3,Mona Mc SHARRY,F,Swimming,Women's 100m Breaststroke,1543304,IRL
Gold Medal,1,Mollie O'CALLAGHAN,F,Swimming,Women's 200m Freestyle,1946218,AUS
Silver Medal,2,Ariarne TITMUS,F,Swimming,Women's 200m Freestyle,1946150,AUS
Bronze Medal,3,HAUGHEY Siobhan Bernadette,F,Swimming,Women's 200m Freestyle,1925125,HKG
Gold Medal,1,Summer McINTOSH,F,Swimming,Women's 400m Individual Medley,1967140,CAN
Silver Medal,2,Katie GRIMES,F,Swimming,Women's 400m Individual Medley,1935909,USA
Bronze Medal,3,Emma WEYANT,F,Swimming,Women's 400m Individual Medley,1936001,USA
Gold Medal,1,United States,F,Artistic Gymnastics,Women's Team,GARWTEAM----USA01,USA
Silver Medal,2,Italy,F,Artistic Gymnastics,Women's Team,GARWTEAM----ITA01,ITA
Bronze Medal,3,Brazil,F,Artistic Gymnastics,Women's Team,GARWTEAM----BRA01,BRA
Gold Medal,1,Italy,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿,FENWTEAMEPEEITA01,ITA
Silver Medal,2,France,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿,FENWTEAMEPEEFRA01,FRA
Bronze Medal,3,Poland,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿,FENWTEAMEPEEPOL01,POL
Gold Medal,1,NAGASE Takanori,M,Judo,Men -81 kg,1896765,JPN
Silver Medal,2,Tato GRIGALASHVILI,M,Judo,Men -81 kg,1546651,GEO
Bronze Medal,3,LEE Joonhwan,M,Judo,Men -81 kg,1928079,KOR
Bronze Medal,3,Somon MAKHMADBEKOV,M,Judo,Men -81 kg,1570561,TJK
Gold Medal,1,Andreja LESKI,F,Judo,Women -63 kg,1980833,SLO
Silver Medal,2,Prisca AWITI ALCARAZ,F,Judo,Women -63 kg,1537287,MEX
Bronze Medal,3,Clarisse AGBEGNENOU,F,Judo,Women -63 kg,1891289,FRA
Bronze Medal,3,Laura FAZLIU,F,Judo,Women -63 kg,1550167,KOS
Gold Medal,1,New Zealand,F,Rugby Sevens,Women,RU7WTEAM7---NZL01,NZL
Silver Medal,2,Canada,F,Rugby Sevens,Women,RU7WTEAM7---CAN01,CAN
Bronze Medal,3,United States,F,Rugby Sevens,Women,RU7WTEAM7---USA01,USA
Gold Medal,1,Serbia,X,Shooting,10m Air Pistol Mixed Team,SHOXAPMT----SRB01,SRB
Silver Medal,2,Tï¿½ï¿½ï¿½,X,Shooting,10m Air Pistol Mixed Team,SHOXAPMT----TUR02,TUR
Bronze Medal,3,India 1,X,Shooting,10m Air Pistol Mixed Team,SHOXAPMT----IND01,IND
Gold Medal,1,Nathan HALES,M,Shooting,Trap Men,1904430,GBR
Silver Medal,2,QI Ying,M,Shooting,Trap Men,1913928,CHN
Bronze Medal,3,Jean Pierre BROL CARDENAS,M,Shooting,Trap Men,1958970,GUA
Gold Medal,1,Great Britain,M,Swimming,Men's 4 x 200m Freestyle Relay,SWMM4X200MFRGBR01,GBR
Silver Medal,2,United States,M,Swimming,Men's 4 x 200m Freestyle Relay,SWMM4X200MFRUSA01,USA
Bronze Medal,3,Australia,M,Swimming,Men's 4 x 200m Freestyle Relay,SWMM4X200MFRAUS01,AUS
Gold Medal,1,Daniel WIFFEN,M,Swimming,Men's 800m Freestyle,1539969,IRL
Silver Medal,2,Bobby FINKE,M,Swimming,Men's 800m Freestyle,1935902,USA
Bronze Medal,3,Gregorio PALTRINIERI,M,Swimming,Men's 800m Freestyle,1925630,ITA
Gold Medal,1,Kaylee McKEOWN,F,Swimming,Women's 100m Backstroke,1946198,AUS
Silver Medal,2,Regan SMITH,F,Swimming,Women's 100m Backstroke,1935984,USA
Bronze Medal,3,Katharine BERKOFF,F,Swimming,Women's 100m Backstroke,1935873,USA
Gold Medal,1,WANG/SUN,X,Table Tennis,Mixed Doubles,TTEXDOUBLES-CHN01,CHN
Silver Medal,2,RI/KIM,X,Table Tennis,Mixed Doubles,TTEXDOUBLES-PRK01,PRK
Bronze Medal,3,LIM/SHIN,X,Table Tennis,Mixed Doubles,TTEXDOUBLES-KOR01,KOR
Gold Medal,1,OKA Shinnosuke,M,Artistic Gymnastics,Men's All-Around,1919480,JPN
Silver Medal,2,ZHANG Boheng,M,Artistic Gymnastics,Men's All-Around,1918864,CHN
Bronze Medal,3,XIAO Ruoteng,M,Artistic Gymnastics,Men's All-Around,1918860,CHN
Gold Medal,1,Jessica FOX,F,Canoe Slalom,Women's Canoe Single,1940205,AUS
Silver Medal,2,Elena LILIK,F,Canoe Slalom,Women's Canoe Single,1913770,GER
Bronze Medal,3,Evy LEIBFARTH,F,Canoe Slalom,Women's Canoe Single,1955132,USA
Gold Medal,1,Jose TORRES GIL,M,Cycling BMX Freestyle,Men's Park,1916809,ARG
Silver Medal,2,Kieran Darren David REILLY,M,Cycling BMX Freestyle,Men's Park,1912548,GBR
Bronze Medal,3,Anthony JEANJEAN,M,Cycling BMX Freestyle,Men's Park,1895685,FRA
Gold Medal,1,DENG Yawen,F,Cycling BMX Freestyle,Women's Park,1920569,CHN
Silver Medal,2,Perris BENEGAS,F,Cycling BMX Freestyle,Women's Park,1955071,USA
Bronze Medal,3,Natalya DIEHM,F,Cycling BMX Freestyle,Women's Park,1940118,AUS
Gold Medal,1,China,F,Diving,Women's Synchronised 10m Platform,DIVW10MTEAM2CHN01,CHN
Silver Medal,2,DPR Korea,F,Diving,Women's Synchronised 10m Platform,DIVW10MTEAM2PRK01,PRK
Bronze Medal,3,Great Britain,F,Diving,Women's Synchronised 10m Platform,DIVW10MTEAM2GBR01,GBR
Gold Medal,1,Korea,M,Fencing,Men's Sabre Team,FENMTEAMSABRKOR01,KOR
Silver Medal,2,Hungary,M,Fencing,Men's Sabre Team,FENMTEAMSABRHUN01,HUN
Bronze Medal,3,France,M,Fencing,Men's Sabre Team,FENMTEAMSABRFRA01,FRA
Gold Medal,1,Lasha BEKAURI,M,Judo,Men -90 kg,1548817,GEO
Silver Medal,2,MURAO Sanshiro,M,Judo,Men -90 kg,1896750,JPN
Bronze Medal,3,Maxime-Gael NGAYAP HAMBOU,M,Judo,Men -90 kg,1891318,FRA
Bronze Medal,3,Theodoros TSELIDIS,M,Judo,Men -90 kg,1961318,GRE
Gold Medal,1,Barbara MATIC,F,Judo,Women -70 kg,1898499,CRO
Silver Medal,2,Miriam BUTKEREIT,F,Judo,Women -70 kg,1563082,GER
Bronze Medal,3,Michaela POLLERES,F,Judo,Women -70 kg,1566421,AUT
Bronze Medal,3,Gabriella WILLEMS,F,Judo,Women -70 kg,1903248,BEL
Gold Medal,1,Netherlands,M,Rowing,Men's Quadruple Sculls,ROWMSCULL4--NED01,NED
Silver Medal,2,Italy,M,Rowing,Men's Quadruple Sculls,ROWMSCULL4--ITA01,ITA
Bronze Medal,3,Poland,M,Rowing,Men's Quadruple Sculls,ROWMSCULL4--POL01,POL
Gold Medal,1,Great Britain,F,Rowing,Women's Quadruple Sculls,ROWWSCULL4--GBR01,GBR
Silver Medal,2,Netherlands,F,Rowing,Women's Quadruple Sculls,ROWWSCULL4--NED01,NED
Bronze Medal,3,Germany,F,Rowing,Women's Quadruple Sculls,ROWWSCULL4--GER01,GER
Gold Medal,1,Adriana RUANO OLIVA,F,Shooting,Trap Women,1958899,GUA
Silver Medal,2,Silvana Maria STANCO,F,Shooting,Trap Women,1915317,ITA
Bronze Medal,3,Penny SMITH,F,Shooting,Trap Women,1967454,AUS
Gold Medal,1,PAN Zhanle,M,Swimming,Men's 100m Freestyle,1945148,CHN
Silver Medal,2,Kyle CHALMERS,M,Swimming,Men's 100m Freestyle,1946200,AUS
Bronze Medal,3,David POPOVICI,M,Swimming,Men's 100m Freestyle,1543549,ROU
Gold Medal,1,Leon MARCHAND,M,Swimming,Men's 200m Breaststroke,1909294,FRA
Silver Medal,2,Zac STUBBLETY-COOK,M,Swimming,Men's 200m Breaststroke,1946185,AUS
Bronze Medal,3,Caspar CORBEAU,M,Swimming,Men's 200m Breaststroke,1972545,NED
Gold Medal,1,Leon MARCHAND,M,Swimming,Men's 200m Butterfly,1909294,FRA
Silver Medal,2,Kristof MILAK,M,Swimming,Men's 200m Butterfly,1905860,HUN
Bronze Medal,3,Ilya KHARUN,M,Swimming,Men's 200m Butterfly,1967058,CAN
Gold Medal,1,Sarah SJOESTROEM,F,Swimming,Women's 100m Freestyle,1572557,SWE
Silver Medal,2,Torri HUSKE,F,Swimming,Women's 100m Freestyle,1935923,USA
Bronze Medal,3,HAUGHEY Siobhan Bernadette,F,Swimming,Women's 100m Freestyle,1925125,HKG
Gold Medal,1,Katie LEDECKY,F,Swimming,Women's 1500m Freestyle,1935938,USA
Silver Medal,2,Anastasiia KIRPICHNIKOVA,F,Swimming,Women's 1500m Freestyle,1909209,FRA
Bronze Medal,3,Isabel GOSE,F,Swimming,Women's 1500m Freestyle,1907171,GER
Gold Medal,1,Alex YEE,M,Triathlon,Men's Individual,1904251,GBR
Silver Medal,2,Hayden WILDE,M,Triathlon,Men's Individual,1926549,NZL
Bronze Medal,3,Leo BERGERE,M,Triathlon,Men's Individual,1543967,FRA
Gold Medal,1,Cassandre BEAUGRAND,F,Triathlon,Women's Individual,1543963,FRA
Silver Medal,2,Julie DERRON,F,Triathlon,Women's Individual,1976489,SUI
Bronze Medal,3,Beth POTTER,F,Triathlon,Women's Individual,1904244,GBR
Gold Medal,1,Simone BILES,F,Artistic Gymnastics,Women's All-Around,1959861,USA
Silver Medal,2,Rebeca ANDRADE,F,Artistic Gymnastics,Women's All-Around,1953634,BRA
Bronze Medal,3,Sunisa LEE,F,Artistic Gymnastics,Women's All-Around,1959866,USA
Gold Medal,1,Brian Daniel PINTADO,M,Athletics,Men's 20km Race Walk,1929767,ECU
Silver Medal,2,Caio BONFIM,M,Athletics,Men's 20km Race Walk,1951928,BRA
Bronze Medal,3,Alvaro MARTIN,M,Athletics,Men's 20km Race Walk,1904165,ESP
Gold Medal,1,YANG Jiayu,F,Athletics,Women's 20km Race Walk,1919002,CHN
Silver Medal,2,Maria PEREZ,F,Athletics,Women's 20km Race Walk,1905369,ESP
Bronze Medal,3,Jemima MONTAG,F,Athletics,Women's 20km Race Walk,1939791,AUS
Gold Medal,1,Giovanni de GENNARO,M,Canoe Slalom,Men's Kayak Single,1550975,ITA
Silver Medal,2,Titouan CASTRYCK,M,Canoe Slalom,Men's Kayak Single,1880464,FRA
Bronze Medal,3,Pau ECHANIZ,M,Canoe Slalom,Men's Kayak Single,1953935,ESP
Gold Medal,1,United States,F,Fencing,Women's Foil Team,FENWTEAMFOILUSA01,USA
Silver Medal,2,Italy,F,Fencing,Women's Foil Team,FENWTEAMFOILITA01,ITA
Bronze Medal,3,Japan,F,Fencing,Women's Foil Team,FENWTEAMFOILJPN01,JPN
Gold Medal,1,Zelym KOTSOIEV,M,Judo,Men -100 kg,1972367,AZE
Silver Medal,2,Ilia SULAMANIDZE,M,Judo,Men -100 kg,1552370,GEO
Bronze Medal,3,Peter PALTCHIK,M,Judo,Men -100 kg,1892957,ISR
Bronze Medal,3,Muzaffarbek TUROBOYEV,M,Judo,Men -100 kg,1565754,UZB
Gold Medal,1,Alice BELLANDI,F,Judo,Women -78 kg,1925349,ITA
Silver Medal,2,Inbar LANIR,F,Judo,Women -78 kg,1892794,ISR
Bronze Medal,3,MA Zhenzhao,F,Judo,Women -78 kg,1891067,CHN
Bronze Medal,3,Patricia SAMPAIO,F,Judo,Women -78 kg,1943504,POR
Gold Medal,1,Romania,M,Rowing,Men's Double Sculls,ROWMSCULL2--ROU01,ROU
Silver Medal,2,Netherlands,M,Rowing,Men's Double Sculls,ROWMSCULL2--NED01,NED
Bronze Medal,3,Ireland,M,Rowing,Men's Double Sculls,ROWMSCULL2--IRL01,IRL
Gold Medal,1,United States,M,Rowing,Men's Four,ROWMNOCOX4--USA01,USA
Silver Medal,2,New Zealand,M,Rowing,Men's Four,ROWMNOCOX4--NZL01,NZL
Bronze Medal,3,Great Britain,M,Rowing,Men's Four,ROWMNOCOX4--GBR01,GBR
Gold Medal,1,New Zealand,F,Rowing,Women's Double Sculls,ROWWSCULL2--NZL01,NZL
Silver Medal,2,Romania,F,Rowing,Women's Double Sculls,ROWWSCULL2--ROU01,ROU
Bronze Medal,3,Great Britain,F,Rowing,Women's Double Sculls,ROWWSCULL2--GBR01,GBR
Gold Medal,1,Netherlands,F,Rowing,Women's Four,ROWWNOCOX4--NED01,NED
Silver Medal,2,Great Britain,F,Rowing,Women's Four,ROWWNOCOX4--GBR01,GBR
Bronze Medal,3,New Zealand,F,Rowing,Women's Four,ROWWNOCOX4--NZL01,NZL
Gold Medal,1,LIU Yukun,M,Shooting,50m Rifle 3 Positions Men,1913922,CHN
Silver Medal,2,Serhiy KULISH,M,Shooting,50m Rifle 3 Positions Men,1555976,UKR
Bronze Medal,3,Swapnil KUSALE,M,Shooting,50m Rifle 3 Positions Men,1538084,IND
Gold Medal,1,Hubert KOS,M,Swimming,Men's 200m Backstroke,1904977,HUN
Silver Medal,2,Apostolos CHRISTOU,M,Swimming,Men's 200m Backstroke,1954557,GRE
Bronze Medal,3,Roman MITYUKOV,M,Swimming,Men's 200m Backstroke,1977754,SUI
Gold Medal,1,Kate DOUGLASS,F,Swimming,Women's 200m Breaststroke,1935895,USA
Silver Medal,2,Tatjana SMITH,F,Swimming,Women's 200m Breaststroke,1962589,RSA
Bronze Medal,3,Tes SCHOUTEN,F,Swimming,Women's 200m Breaststroke,1972525,NED
Gold Medal,1,Summer McINTOSH,F,Swimming,Women's 200m Butterfly,1967140,CAN
Silver Medal,2,Regan SMITH,F,Swimming,Women's 200m Butterfly,1935984,USA
Bronze Medal,3,ZHANG Yufei,F,Swimming,Women's 200m Butterfly,1945125,CHN
Gold Medal,1,Australia,F,Swimming,Women's 4 x 200m Freestyle Relay,SWMW4X200MFRAUS01,AUS
Silver Medal,2,United States,F,Swimming,Women's 4 x 200m Freestyle Relay,SWMW4X200MFRUSA01,USA
Bronze Medal,3,China,F,Swimming,Women's 4 x 200m Freestyle Relay,SWMW4X200MFRCHN01,CHN
Gold Medal,1,Korea,X,Archery,Mixed Team,ARCXTEAM2---KOR01,KOR
Silver Medal,2,Germany,X,Archery,Mixed Team,ARCXTEAM2---GER01,GER
Bronze Medal,3,United States,X,Archery,Mixed Team,ARCXTEAM2---USA01,USA
Gold Medal,1,Joshua CHEPTEGEI,M,Athletics,"Men's 10,000m",1970827,UGA
Silver Medal,2,Berihu AREGAWI,M,Athletics,"Men's 10,000m",1536998,ETH
Bronze Medal,3,Grant FISHER,M,Athletics,"Men's 10,000m",1960959,USA
Gold Medal,1,ZHENG/HUANG,X,Badminton,Mixed Doubles,BDMXDOUBLES-CHN02,CHN
Silver Medal,2,KIM/JEONG,X,Badminton,Mixed Doubles,BDMXDOUBLES-KOR02,KOR
Bronze Medal,3,WATANABE/HIGASHINO,X,Badminton,Mixed Doubles,BDMXDOUBLES-JPN01,JPN
